"filename", "language", "Java", "Java Properties", "SQL", "JSON", "Markdown", "XML", "JavaScript", "CSS", "Properties", "HTML", "HTTP", "comment", "blank", "total"
"c:\Users\amari\OneDrive\Documents\Dev10-Academy\Capstone\crag-apps\partner-finder\front-end\src\context\ProfileContext.js", "JavaScript", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 2, 5
"c:\Users\amari\OneDrive\Documents\Dev10-Academy\Capstone\crag-apps\partner-finder\front-end\src\index.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 10, 65
"c:\Users\amari\OneDrive\Documents\Dev10-Academy\Capstone\crag-apps\partner-finder\front-end\src\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 2, 17
"c:\Users\amari\OneDrive\Documents\Dev10-Academy\Capstone\crag-apps\partner-finder\front-end\src\services\authAPI.js", "JavaScript", 0, 0, 0, 0, 0, 0, 77, 0, 0, 0, 0, 0, 13, 90
"c:\Users\amari\OneDrive\Documents\Dev10-Academy\Capstone\crag-apps\partner-finder\front-end\src\services\badgeAPI.js", "JavaScript", 0, 0, 0, 0, 0, 0, 127, 0, 0, 0, 0, 2, 11, 140
"c:\Users\amari\OneDrive\Documents\Dev10-Academy\Capstone\crag-apps\partner-finder\front-end\src\services\climberAPI.js", "JavaScript", 0, 0, 0, 0, 0, 0, 84, 0, 0, 0, 0, 0, 14, 98
"c:\Users\amari\OneDrive\Documents\Dev10-Academy\Capstone\crag-apps\partner-finder\front-end\src\services\profileAPI.js", "JavaScript", 0, 0, 0, 0, 0, 0, 153, 0, 0, 0, 0, 0, 18, 171
"c:\Users\amari\OneDrive\Documents\Dev10-Academy\Capstone\crag-apps\partner-finder\package-lock.json", "JSON", 0, 0, 0, 160, 0, 0, 0, 0, 0, 0, 0, 0, 1, 161
"c:\Users\amari\OneDrive\Documents\Dev10-Academy\Capstone\crag-apps\partner-finder\package.json", "JSON", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\amari\OneDrive\Documents\Dev10-Academy\Capstone\crag-apps\partner-finder\planning\Proposal.md", "Markdown", 0, 0, 0, 0, 211, 0, 0, 0, 0, 0, 0, 0, 115, 326
"c:\Users\amari\OneDrive\Documents\Dev10-Academy\Capstone\crag-apps\partner-finder\planning\Tasks.md", "Markdown", 0, 0, 0, 0, 350, 0, 0, 0, 0, 0, 0, 0, 52, 402
"c:\Users\amari\OneDrive\Documents\Dev10-Academy\Capstone\crag-apps\partner-finder\planning\UserStories.md", "Markdown", 0, 0, 0, 0, 88, 0, 0, 0, 0, 0, 0, 0, 34, 122
"c:\Users\amari\OneDrive\Documents\Dev10-Academy\Capstone\crag-apps\partner-finder\pom.xml", "XML", 0, 0, 0, 0, 0, 89, 0, 0, 0, 0, 0, 7, 14, 110
"c:\Users\amari\OneDrive\Documents\Dev10-Academy\Capstone\crag-apps\partner-finder\sql\partner-finder-data.sql", "SQL", 0, 0, 149, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 171
"c:\Users\amari\OneDrive\Documents\Dev10-Academy\Capstone\crag-apps\partner-finder\sql\partner-finder-prod-schema.sql", "SQL", 0, 0, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 230
"c:\Users\amari\OneDrive\Documents\Dev10-Academy\Capstone\crag-apps\partner-finder\sql\partner-finder-test-schema.sql", "SQL", 0, 0, 346, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 389
"c:\Users\amari\OneDrive\Documents\Dev10-Academy\Capstone\crag-apps\partner-finder\src\main\java\partner_finder\App.java", "Java", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13
"c:\Users\amari\OneDrive\Documents\Dev10-Academy\Capstone\crag-apps\partner-finder\src\main\java\partner_finder\AppConfig.java", "Java", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 5, 38
"c:\Users\amari\OneDrive\Documents\Dev10-Academy\Capstone\crag-apps\partner-finder\src\main\java\partner_finder\controllers\AuthController.java", "Java", 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16, 82
"c:\Users\amari\OneDrive\Documents\Dev10-Academy\Capstone\crag-apps\partner-finder\src\main\java\partner_finder\controllers\BadgeController.java", "Java", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17, 73
"c:\Users\amari\OneDrive\Documents\Dev10-Academy\Capstone\crag-apps\partner-finder\src\main\java\partner_finder\controllers\ClimberBadgeController.java", "Java", 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20, 83
"c:\Users\amari\OneDrive\Documents\Dev10-Academy\Capstone\crag-apps\partner-finder\src\main\java\partner_finder\controllers\ClimberController.java", "Java", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19, 77
"c:\Users\amari\OneDrive\Documents\Dev10-Academy\Capstone\crag-apps\partner-finder\src\main\java\partner_finder\controllers\ClimberProfileController.java", "Java", 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 24, 115
"c:\Users\amari\OneDrive\Documents\Dev10-Academy\Capstone\crag-apps\partner-finder\src\main\java\partner_finder\controllers\ClimbingGymController.java", "Java", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17, 72
"c:\Users\amari\OneDrive\Documents\Dev10-Academy\Capstone\crag-apps\partner-finder\src\main\java\partner_finder\controllers\ErrorResponse.java", "Java", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 21
"c:\Users\amari\OneDrive\Documents\Dev10-Academy\Capstone\crag-apps\partner-finder\src\main\java\partner_finder\controllers\GlobalErrHandler.java", "Java", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 43
"c:\Users\amari\OneDrive\Documents\Dev10-Academy\Capstone\crag-apps\partner-finder\src\main\java\partner_finder\controllers\LocationController.java", "Java", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17, 72
"c:\Users\amari\OneDrive\Documents\Dev10-Academy\Capstone\crag-apps\partner-finder\src\main\java\partner_finder\controllers\ProfileCommentController.java", "Java", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19, 78
"c:\Users\amari\OneDrive\Documents\Dev10-Academy\Capstone\crag-apps\partner-finder\src\main\java\partner_finder\data\AppUserJdbcTemplateRepository.java", "Java", 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 29, 125
"c:\Users\amari\OneDrive\Documents\Dev10-Academy\Capstone\crag-apps\partner-finder\src\main\java\partner_finder\data\AppUserRepository.java", "Java", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 22
"c:\Users\amari\OneDrive\Documents\Dev10-Academy\Capstone\crag-apps\partner-finder\src\main\java\partner_finder\data\BadgeRepository.java", "Java", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 24
"c:\Users\amari\OneDrive\Documents\Dev10-Academy\Capstone\crag-apps\partner-finder\src\main\java\partner_finder\data\ClimberBadgeRepository.java", "Java", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 19
"c:\Users\amari\OneDrive\Documents\Dev10-Academy\Capstone\crag-apps\partner-finder\src\main\java\partner_finder\data\ClimberJdbcTemplateRepository.java", "Java", 121, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23, 145
"c:\Users\amari\OneDrive\Documents\Dev10-Academy\Capstone\crag-apps\partner-finder\src\main\java\partner_finder\data\ClimberProfileRepository.java", "Java", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 28
"c:\Users\amari\OneDrive\Documents\Dev10-Academy\Capstone\crag-apps\partner-finder\src\main\java\partner_finder\data\ClimberRepository.java", "Java", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 28
"c:\Users\amari\OneDrive\Documents\Dev10-Academy\Capstone\crag-apps\partner-finder\src\main\java\partner_finder\data\ClimbingGymRepository.java", "Java", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"c:\Users\amari\OneDrive\Documents\Dev10-Academy\Capstone\crag-apps\partner-finder\src\main\java\partner_finder\data\ForumRepository.java", "Java", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 25
"c:\Users\amari\OneDrive\Documents\Dev10-Academy\Capstone\crag-apps\partner-finder\src\main\java\partner_finder\data\LocationJdbcTemplateRepository.java", "Java", 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 138
"c:\Users\amari\OneDrive\Documents\Dev10-Academy\Capstone\crag-apps\partner-finder\src\main\java\partner_finder\data\LocationRepository.java", "Java", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11, 30
"c:\Users\amari\OneDrive\Documents\Dev10-Academy\Capstone\crag-apps\partner-finder\src\main\java\partner_finder\data\ProfileCommentRepository.java", "Java", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13
"c:\Users\amari\OneDrive\Documents\Dev10-Academy\Capstone\crag-apps\partner-finder\src\main\java\partner_finder\data\mappers\AppUserMapper.java", "Java", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 26
"c:\Users\amari\OneDrive\Documents\Dev10-Academy\Capstone\crag-apps\partner-finder\src\main\java\partner_finder\data\mappers\ClimberBadgeMapper.java", "Java", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 30
"c:\Users\amari\OneDrive\Documents\Dev10-Academy\Capstone\crag-apps\partner-finder\src\main\java\partner_finder\data\mappers\ClimberMapper.java", "Java", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 28
"c:\Users\amari\OneDrive\Documents\Dev10-Academy\Capstone\crag-apps\partner-finder\src\main\java\partner_finder\data\mappers\ClimbingGymMapper.java", "Java", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 25
"c:\Users\amari\OneDrive\Documents\Dev10-Academy\Capstone\crag-apps\partner-finder\src\main\java\partner_finder\data\mappers\LocationMapper.java", "Java", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 29
"c:\Users\amari\OneDrive\Documents\Dev10-Academy\Capstone\crag-apps\partner-finder\src\main\java\partner_finder\domain\AppUserService.java", "Java", 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 35, 130
"c:\Users\amari\OneDrive\Documents\Dev10-Academy\Capstone\crag-apps\partner-finder\src\main\java\partner_finder\domain\BadgeService.java", "Java", 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 21, 104
"c:\Users\amari\OneDrive\Documents\Dev10-Academy\Capstone\crag-apps\partner-finder\src\main\java\partner_finder\domain\ClimberBadgeService.java", "Java", 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22, 108
"c:\Users\amari\OneDrive\Documents\Dev10-Academy\Capstone\crag-apps\partner-finder\src\main\java\partner_finder\domain\ClimberProfileService.java", "Java", 133, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 33, 171
